"expmon","maturity","FutPr"
202203,2022-03-14,99.5
202206,2022-06-13,99.125
202209,2022-09-19,98.825
202212,2022-12-19,98.55
202303,2023-03-13,98.385
202306,2023-06-19,98.23
202309,2023-09-18,98.105
202312,2023-12-18,98.06
202403,2024-03-18,98.06
202406,2024-06-17,98.065
202409,2024-09-16,98.06
202412,2024-12-16,98.05
202503,2025-03-17,98.055
202506,2025-06-16,98.055
202509,2025-09-15,98.045
202512,2025-12-15,98.025
202603,2026-03-16,98.02
202606,2026-06-15,98.005
202609,2026-09-14,98
202612,2026-12-14,97.99
202703,2027-03-15,97.985
202706,2027-06-14,97.97
202709,2027-09-13,97.965
202712,2027-12-13,97.95
202803,2028-03-13,97.955
202806,2028-06-19,97.95
202809,2028-09-18,97.95
202812,2028-12-18,97.945
202903,2029-03-19,97.95
202906,2029-06-18,97.945
202909,2029-09-17,97.945
202912,2029-12-17,97.95
203003,2030-03-18,97.96
203006,2030-06-17,97.97
203009,2030-09-16,97.98
203012,2030-12-16,97.97
203103,2031-03-17,97.985
203106,2031-06-16,97.995
203109,2031-09-15,97.99
203112,2031-12-15,97.99
